Age,Gender,Meal Frequency,Diet Type,Skip Meals,Satiety,Consult Nutritionist,Cooking Frequency,Main Meal,Diet Composition,Eating Out Frequency,Allergic,Sweet Food Intake,Salty Food Intake,Fresh Fruit Intake,Fresh Vegetables Intake,Oily/Fried Food Intake,Meat Intake,Seafood Intake,Tea Consumption,Coffee Consumption,Soft Drink,Fruit Juice,Dairy Drink,Alcohol,Water Consumption (cup)
Young people,Male,5,Pollotarian (Vegetarian who consumes poultry and white meat but no red meat),Rarely,Often,Never,Sometimes,Lunch,Freshly home-cooked produce,4,Milk,4,7,Less often,Once a day,Less often,Often,Often,Never,Never,Less often,Never,Less often,Never,16
Young people,Male,4,Vegetarian (No egg or meat),Rarely,Often,Rarely,Rarely,Lunch,Freshly home-cooked produce,1,I do not have any allergies,6,6,Less often,Often,Often,Never,Never,Less often,Never,Often,Once a day,Often,Never,11
Middle aged,Male,3,Pescatarian (Vegetarian who consumes only seafood),Never,Rarely,Never,Never,All,Freshly home-cooked produce,3,I do not have any allergies,7,3,In every meal,In every meal,Less often,Never,Often,Once a day,Less often,Never,Less often,Once a day,Never,17
Young people,Male,2,Non-Vegetarian,Often,Often,Never,Sometimes,Lunch,Freshly home-cooked produce,1,I do not have any allergies,7,7,Several times a day,In every meal,Few times a week,Once a day,Few times a week,Few times a week,Once a day,Once a month,Once a month,Few times a week,Never,8
Young people,Female,3,Eggetarian (Vegetarian who consumes egg and egg products),Sometimes,Sometimes,Never,Often,Breakfast,Freshly home-cooked produce,1,I do not have any allergies,2,6,Once a day,In every meal,Few times a week,Never,Never,Never,Never,Once a month,Once a month,Once a day,Once a month,5
Young people,Female,3,Eggetarian (Vegetarian who consumes egg and egg products),Sometimes,Rarely,Never,Rarely,Lunch,Freshly home-cooked produce,1,I do not have any allergies,1,3,Once a month,In every meal,Once a month,Never,Never,Once a day,Once a day,Once a month,Once a month,Once a day,Once a month,4
Young people,Male,3,Non-Vegetarian,Never,Never,Rarely,Sometimes,Breakfast,Freshly home-cooked produce,1,I do not have any allergies,3,1,Several times a day,Several times a day,Once a month,In every meal,Once a month,Never,Once a month,Never,Few times a week,Few times a week,Never,16
Old people,Male,3,Pescatarian (Vegetarian who consumes only seafood),Never,Rarely,Never,Never,Lunch,Freshly home-cooked produce,2,I do not have any allergies,7,2,Once a day,In every meal,Once a day,Never,Several times a day,Once a day,Never,Few times a week,Never,Few times a week,Never,18
Old people,Female,2,Vegetarian (No egg or meat),Sometimes,Never,Never,Very frequently,Breakfast,Freshly home-cooked produce,1,I do not have any allergies,2,3,Once a day,In every meal,Few times a week,Never,Never,Once a day,Never,Never,Once a month,Once a day,Never,12
Teenager,Male,3,Eggetarian (Vegetarian who consumes egg and egg products),Never,Often,Never,Never,Lunch,Freshly home-cooked produce,2,I do not have any allergies,1,7,In every meal,Several times a day,Several times a day,Never,Never,Never,Never,Once a month,Few times a week,Once a day,Never,6
